date,time,Type,group,ph.mV,ph.nbs,temp.C,sal.psu,par,flow.mL5s,tris.date,Notes
7/12/23,13:32,Squarical 4,Ambient,-60.4,8.04,27.6,36.5,,43,20230710,
7/12/23,13:32,Squarical 5,Heated,-60.4,8.04,30.6,36.55,,47.5,20230710,
7/12/23,13:32,Squarical 6,Heated,-60.3,8.03,30.7,36.5,,43,20230710,
7/12/23,13:32,Squarical 7 ,Heated,-60,8.03,30.7,36.52,,47.5,20230710,
7/12/23,13:32,Squarical 8,Heated,-60.2,8.03,30.8,36.53,,47.5,20230710,
7/12/23,13:32,Squarical 9,Heated,-61.1,8.02,30.6,36.47,,50,20230710,
7/12/23,13:32,Squarical 10,Heated,-60,8.03,30.7,36.48,,47.5,20230710,
7/12/23,13:32,Squarical 11,Heated,-59.7,8.02,30.7,36.48,,50,20230710,
7/12/23,13:32,Squarical 12,Heated,-59.6,8.02,30.7,36.48,,47.5,20230710,
7/12/23,13:32,Squarical 13,Ambient,-60.4,8.04,28.7,36.56,,47.5,20230710,
7/12/23,13:32,Squarical 14,Ambient,-60.5,8.04,28.7,36.46,,47.5,20230710,
7/12/23,13:32,Squarical 15,Ambient,-60.4,8.05,28.7,36.45,,50,20230710,
7/12/23,13:32,Squarical 16,Ambient,-61.1,8.05,28.6,36.45,,49,20230710,
7/13/23,13:24,Squarical 1,Ambient,-60.5,8.04,27.6,36.67,450,,20230710,
7/13/23,13:24,Squarical 2,Ambient,-60.5,8.05,27.6,36.72,320,,20230710,
7/13/23,13:24,Squarical 3,Ambient,-60.8,8.06,27.6,36.72,545,,20230710,
7/13/23,13:24,Squarical 4,Ambient,-61.2,8.07,27.6,36.72,540,,20230710,
7/13/23,13:24,Squarical 5,Heated,-61.4,8.04,30.3,36.76,420,,20230710,
7/13/23,13:24,Squarical 6,Heated,-61.4,8.04,30.3,36.75,357,,20230710,
7/13/23,13:24,Squarical 7 ,Heated,-61.2,8.05,30.3,36.75,415,,20230710,
7/13/23,13:24,Squarical 8,Heated,-60.7,8.06,30.3,36.76,560,,20230710,
7/13/23,13:24,Squarical 9,Heated,-61.4,8.05,30.2,36.73,407,,20230710,
7/13/23,13:24,Squarical 10,Heated,-61.1,8.05,30.2,36.72,497,,20230710,
7/13/23,13:24,Squarical 11,Heated,-61.3,8.03,30.2,36.73,430,,20230710,
7/13/23,13:24,Squarical 12,Heated,-60.9,8.05,30.2,36.74,385,,20230710,
7/13/23,13:24,Squarical 13,Ambient,-61.9,8.07,27.7,36.73,566,,20230710,
7/13/23,13:24,Squarical 14,Ambient,-61.1,8.04,27.7,36.73,360,,20230710,
7/13/23,13:24,Squarical 15,Ambient,-64.6,8.04,27.7,36.73,502,,20230710,
7/13/23,13:24,Squarical 16,Ambient,-61.1,8.05,27.6,36.72,395,,20230710,
7/14/23,13:10,Squarical 1,Ambient,-60.4,8.05,27.7,36.83,465,,20230710,
7/14/23,13:10,Squarical 2,Ambient,-60.8,8.05,27.6,36.74,375,,20230710,
7/14/23,13:10,Squarical 3,Ambient,-60.9,8.05,27.6,36.73,545,,20230710,
7/14/23,13:10,Squarical 4,Ambient,-61.1,8.06,27.6,36.74,450,,20230710,
7/14/23,13:10,Squarical 5,Heated,-61.6,8.06,30.3,36.6,470,,20230710,
7/14/23,13:10,Squarical 6,Heated,-62,8.06,30.3,36.74,480,,20230710,
7/14/23,13:10,Squarical 7 ,Heated,-61.2,8.07,30.3,36.78,330,,20230710,
7/14/23,13:10,Squarical 8,Heated,-60.5,8.04,30.3,36.31,525,,20230710,
7/14/23,13:10,Squarical 9,Heated,-60.3,8.03,30.2,36.74,450,,20230710,
7/14/23,13:10,Squarical 10,Heated,-60.3,8.05,30.3,36.77,500,,20230710,
7/14/23,13:10,Squarical 11,Heated,-60.9,8.04,30.3,36.78,450,,20230710,
7/14/23,13:10,Squarical 12,Heated,-60.6,8.06,30.2,36.77,280,,20230710,
7/14/23,13:10,Squarical 13,Ambient,-63.1,8.07,27.7,36.77,550,,20230710,
7/14/23,13:10,Squarical 14,Ambient,-60.5,8.07,27.6,36.77,400,,20230710,
7/14/23,13:10,Squarical 15,Ambient,-61.2,8.07,27.7,36.76,400,,20230710,
7/14/23,13:10,Squarical 16,Ambient,-61.5,8.07,27.6,36.77,325,,20230710,
7/14/23,13:10,Basin 5,Ambient,-64,8.1,30.2,36.82,530,NA,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/14/23,13:10,Basin 6,Heated,-65.6,8.12,27.6,36.74,570,NA,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/15/23,20:05,Squarical 1,Ambient,-61.8,8.06,27.6,36.4,107,,20230710,
7/15/23,20:05,Squarical 2,Ambient,-61.8,8.07,27.6,36.78,154,,20230710,
7/15/23,20:05,Squarical 3,Ambient,-62.1,8.08,27.6,36.78,165,,20230710,
7/15/23,20:05,Squarical 4,Ambient,-62.3,8.08,27.6,36.54,169,,20230710,
7/15/23,20:05,Squarical 5,Heated,-62.9,8.08,30,36.81,50,,20230710,
7/15/23,20:05,Squarical 6,Heated,-63,8.08,30.1,36.8,47,,20230710,
7/15/23,20:05,Squarical 7 ,Heated,-63,8.08,29.9,36.8,86,,20230710,
7/15/23,20:05,Squarical 8,Heated,-63.2,8.08,30.2,36.84,114,,20230710,
7/15/23,20:05,Squarical 9,Heated,-61.2,8.05,29.8,36.81,99,,20230710,
7/15/23,20:05,Squarical 10,Heated,-61.4,8.06,29.8,36.65,132,,20230710,
7/15/23,20:05,Squarical 11,Heated,-61.7,8.06,29.8,36.61,98,,20230710,
7/15/23,20:05,Squarical 12,Heated,-61.6,8.05,29.8,36.81,150,,20230710,
7/15/23,20:05,Squarical 13,Ambient,-62.8,8.09,27.4,36.8,73,,20230710,
7/15/23,20:05,Squarical 14,Ambient,-62.8,8.09,27.4,36.81,81,,20230710,
7/15/23,20:05,Squarical 15,Ambient,-62.7,8.09,27.4,36.65,86,,20230710,
7/15/23,20:05,Squarical 16,Ambient,-62.8,8.09,27.4,36.8,48,,20230710,
7/15/23,20:05,Basin 5,Ambient,-65.2,8.14,27.6,36.82,152,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/15/23,20:05,Basin 6,Heated,-67.5,8.16,30,36.84,45,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/16/23,16:25,Squarical 1,Ambient,-59.7,8.02,27.5,36.81,,,20230710,
7/16/23,16:25,Squarical 2,Ambient,-61.5,8.07,27.5,36.81,,,20230710,
7/16/23,16:25,Squarical 3,Ambient,-62.9,8.09,27.5,36.8,,,20230710,
7/16/23,16:25,Squarical 4,Ambient,-63.6,8.1,27.3,36.81,,,20230710,
7/16/23,16:25,Squarical 5,Heated,-64.7,8.11,30.1,37.17,,,20230710,
7/16/23,16:25,Squarical 6,Heated,-63.9,8.1,30.2,36.84,,,20230710,
7/16/23,16:25,Squarical 7 ,Heated,-63.5,8.1,30.2,36.86,,,20230710,
7/16/23,16:25,Squarical 8,Heated,-63.8,8.09,30.2,36.87,,,20230710,
7/16/23,16:25,Squarical 9,Heated,-61.7,8.06,30.2,36.85,,,20230710,
7/16/23,16:25,Squarical 10,Heated,-61.6,8.05,30.1,36.83,,,20230710,
7/16/23,16:25,Squarical 11,Heated,-61.9,8.06,30.1,36.85,,,20230710,
7/16/23,16:25,Squarical 12,Heated,-61.8,8.06,30.1,36.87,,,20230710,
7/16/23,16:25,Squarical 13,Ambient,-63.1,8.09,27.5,36.87,,,20230710,
7/16/23,16:25,Squarical 14,Ambient,-63,8.09,27.5,36.84,,,20230710,
7/16/23,16:25,Squarical 15,Ambient,-62.5,8.09,27.5,36.83,,,20230710,
7/16/23,16:25,Squarical 16,Ambient,-63.8,8.1,27.5,36.83,,,20230710,
7/16/23,16:25,Basin 5,Ambient,-64.9,8.12,27.5,36.84,,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/16/23,16:25,Basin 6,Heated,-66.8,8.14,30.3,36.87,,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/17/23,11:25,Squarical 1,Ambient,-57.1,7.98,27.4,36.64,,50,20230710,
7/17/23,11:25,Squarical 2,Ambient,-59.9,8.03,27.4,36.85,,50,20230710,
7/17/23,11:25,Squarical 3,Ambient,-59.6,8.04,27.4,36.86,,50,20230710,
7/17/23,11:25,Squarical 4,Ambient,-61.5,8.06,27.4,36.86,,48,20230710,
7/17/23,11:25,Squarical 5,Heated,-62.9,8.06,29.7,37.24,,50,20230710,
7/17/23,11:25,Squarical 6,Heated,-61.1,8.05,29.9,36.87,,50,20230710,
7/17/23,11:25,Squarical 7 ,Heated,-61.3,8.05,29.9,36.9,,50,20230710,
7/17/23,11:25,Squarical 8,Heated,-61.5,8.05,29.9,36.9,,50,20230710,
7/17/23,11:25,Squarical 9,Heated,-60.3,8.03,29.8,36.93,,50,20230710,
7/17/23,11:25,Squarical 10,Heated,-60.4,8.04,29.8,36.9,,50,20230710,
7/17/23,11:25,Squarical 11,Heated,-60.4,8.03,29.8,36.88,,50,20230710,
7/17/23,11:25,Squarical 12,Heated,-60.4,8.03,29.8,36.89,,50,20230710,
7/17/23,11:25,Squarical 13,Ambient,-59.5,8.03,27.3,37.04,,50,20230710,
7/17/23,11:25,Squarical 14,Ambient,-61.2,8.04,27.5,36.95,,50,20230710,
7/17/23,11:25,Squarical 15,Ambient,-61.2,8.05,27.4,36.94,,50,20230710,
7/17/23,11:25,Squarical 16,Ambient,-61.1,8.06,27.5,36.9,,50,20230710,
7/17/23,11:25,Basin 5,Ambient,-61,8.05,27.5,36.91,,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/17/23,11:25,Basin 6,Heated,-62.3,8.08,29.8,36.85,,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/18/23,17:00,Squarical 1,Ambient,-65,8.2,27.5,36.85,107,45,20230710,
7/18/23,17:00,Squarical 2,Ambient,-65.3,8.12,27.5,36.85,133,47,20230710,
7/18/23,17:00,Squarical 3,Ambient,-65.3,8.13,27.5,36.86,240,55,20230710,
7/18/23,17:00,Squarical 4,Ambient,-65.3,8.12,27.5,36.84,149,40,20230710,
7/18/23,17:00,Squarical 5,Heated,-64.2,8.08,30.3,36.97,88,43,20230710,
7/18/23,17:00,Squarical 6,Heated,-64.7,8.12,30.3,36.99,82,42,20230710,
7/18/23,17:00,Squarical 7 ,Heated,-64.6,8.08,30.3,36.97,130,43,20230710,
7/18/23,17:00,Squarical 8,Heated,-64.3,8.11,30.3,37.01,107,44,20230710,
7/18/23,17:00,Squarical 9,Heated,-60.6,8.05,30.3,36.88,125,47,20230710,
7/18/23,17:00,Squarical 10,Heated,-60.2,8.05,30.3,36.86,115,44,20230710,
7/18/23,17:00,Squarical 11,Heated,-60.8,8.02,30.3,36.87,105,43,20230710,
7/18/23,17:00,Squarical 12,Heated,-61.1,8.04,30.3,36.87,161,47,20230710,
7/18/23,17:00,Squarical 13,Ambient,-62.1,8.08,27.6,36.8,93,50,20230710,
7/18/23,17:00,Squarical 14,Ambient,-62.5,8.08,27.6,36.79,110,44,20230710,
7/18/23,17:00,Squarical 15,Ambient,-63.3,8.1,27.6,36.84,145,41,20230710,
7/18/23,17:00,Squarical 16,Ambient,-62.9,8.09,27.6,36.84,117,47,20230710,
7/18/23,17:00,Basin 5,Ambient,-63,8.09,27.7,36.93,130,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/18/23,17:00,Basin 6,Heated,-64,8.1,29.9,36.86,95,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/19/23,9:29,Squarical 1,Ambient,-60.2,8.04,27.5,36.74,147,50,20230710,
7/19/23,9:29,Squarical 2,Ambient,-60.7,8.06,27.5,36.72,148,50,20230710,
7/19/23,9:29,Squarical 3,Ambient,-62,8.07,27.5,36.21,143,50,20230710,
7/19/23,9:29,Squarical 4,Ambient,-61.8,8.06,27.5,36.71,153,50,20230710,
7/19/23,9:29,Squarical 5,Heated,-61,8.1,29.6,36.82,126,50,20230710,
7/19/23,9:29,Squarical 6,Heated,-61.4,8.04,29.7,36.86,119,47,20230710,
7/19/23,9:29,Squarical 7 ,Heated,-61.2,8.03,29.7,36.86,90,50,20230710,
7/19/23,9:29,Squarical 8,Heated,-61.1,8.08,29.7,36.86,100,50,20230710,
7/19/23,9:29,Squarical 9,Heated,-61.2,8.07,29.6,36.69,147,50,20230710,
7/19/23,9:29,Squarical 10,Heated,-62.3,8.08,29.6,36.71,139,47,20230710,
7/19/23,9:29,Squarical 11,Heated,-60.9,8.04,29.6,36.69,119,55,20230710,
7/19/23,9:29,Squarical 12,Heated,-61,8.07,29.6,36.71,162,55,20230710,
7/19/23,9:29,Squarical 13,Ambient,-62.2,8.07,27.5,36.67,67,55,20230710,
7/19/23,9:29,Squarical 14,Ambient,-62.9,8.07,27.5,36.67,91,55,20230710,
7/19/23,9:29,Squarical 15,Ambient,-62.1,8.09,27.5,36.67,65,50,20230710,
7/19/23,9:29,Squarical 16,Ambient,-62.3,8.06,27.5,36.67,76,55,20230710,
7/19/23,9:29,Basin 5,Ambient,-61.4,8.08,27.5,36.66,90,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/19/23,9:29,Basin 6,Heated,-64,8.1,29.6,36.65,80,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/20/23,13:35,Squarical 1,Ambient,-64.8,8.1,27.4,36.5,93,50,20230710,
7/20/23,13:35,Squarical 2,Ambient,-65.3,8.14,27.4,36.43,118,50,20230710,
7/20/23,13:35,Squarical 3,Ambient,-65.4,8.14,27.4,36.43,119,55,20230710,
7/20/23,13:35,Squarical 4,Ambient,-67.1,8.16,27.4,36.43,117,50,20230710,
7/20/23,13:35,Squarical 5,Heated,-64.2,8.01,29.9,36.8,90,50,20230710,
7/20/23,13:35,Squarical 6,Heated,-63.9,8.1,29.9,36.84,67,50,20230710,
7/20/23,13:35,Squarical 7 ,Heated,-61.9,8.03,29.7,37.31,74,45,20230710,
7/20/23,13:35,Squarical 8,Heated,-64.3,8.1,29.9,36.85,94,50,20230710,
7/20/23,13:35,Squarical 9,Heated,-65.3,8.12,29.6,36.35,111,50,20230710,
7/20/23,13:35,Squarical 10,Heated,-64.9,8.11,29.6,36.35,102,50,20230710,
7/20/23,13:35,Squarical 11,Heated,-65,8.11,29.6,36.33,107,50,20230710,
7/20/23,13:35,Squarical 12,Heated,-65,8.11,29.6,36.34,130,50,20230710,
7/20/23,13:35,Squarical 13,Ambient,-62.7,8.1,29.9,36.21,100,55,20230710,
7/20/23,13:35,Squarical 14,Ambient,-64.4,8.1,29.9,36.23,107,55,20230710,
7/20/23,13:35,Squarical 15,Ambient,-63.4,8.08,29.9,36.19,77,43,20230710,
7/20/23,13:35,Squarical 16,Ambient,-64,8.1,29.9,36.19,80,55,20230710,
7/20/23,13:35,Basin 5,Ambient,-63.3,8.1,26.9,36.18,115,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/20/23,13:35,Basin 6,Heated,-66.6,8.14,30,36.1,102,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/21/23,14:30,Squarical 1,Ambient,-67.8,8.17,27.5,36.67,230,47,20230710,
7/21/23,14:30,Squarical 2,Ambient,-63.4,8.1,28.3,36.92,225,47,20230710,
7/21/23,14:30,Squarical 3,Ambient,-68.2,8.18,27.6,35.88,270,50,20230710,
7/21/23,14:30,Squarical 4,Ambient,-68.5,8.19,27.5,36.63,400,43,20230710,
7/21/23,14:30,Squarical 5,Heated,-66.5,8.14,30.2,36.92,290,45,20230710,
7/21/23,14:30,Squarical 6,Heated,-66.4,8.13,30.3,36.91,240,50,20230710,
7/21/23,14:30,Squarical 7 ,Heated,-66.4,8.14,30.3,36.12,230,50,20230710,
7/21/23,14:30,Squarical 8,Heated,-66.3,8.14,29.9,36.88,210,50,20230710,
7/21/23,14:30,Squarical 9,Heated,-66.6,8.16,30,36.62,240,50,20230710,
7/21/23,14:30,Squarical 10,Heated,-67.8,8.16,30.1,36.64,200,50,20230710,
7/21/23,14:30,Squarical 11,Heated,-68.6,8.16,30.1,36.64,180,50,20230710,
7/21/23,14:30,Squarical 12,Heated,-68.1,8.17,30.1,36.64,270,50,20230710,
7/21/23,14:30,Squarical 13,Ambient,-66.2,8.14,27.6,36.12,170,55,20230710,
7/21/23,14:30,Squarical 14,Ambient,-68.7,8.18,27.8,36.5,190,55,20230710,
7/21/23,14:30,Squarical 15,Ambient,-66.1,8.15,27.6,36.62,160,45,20230710,
7/21/23,14:30,Squarical 16,Ambient,-67.1,8.14,27.6,36.64,160,55,20230710,
7/21/23,14:30,Basin 5,Ambient,-67.9,8.17,27.5,36.61,170,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/21/23,14:30,Basin 6,Heated,-74.8,8.28,30.4,36.04,160,,20230710,Common Garden: Common garden PAR was taken from the middle of the basin
7/24/23,13:14,Basin 5,Ambient,-69,8.19,27.5,36.69,155,,20230710,Common Garden
7/24/23,13:14,Basin 6,Heated,-70.4,8.22,30.2,36.67,119,,20230710,Common Garden
7/25/23,14:50,Basin 3,Heated,-57.2,7.98,28.2,36.67,100,,20230710,Common Garden
7/25/23,14:50,Basin 4,Ambient,-60.1,8.03,28,36.65,74,,20230710,Common Garden
7/25/23,14:50,Basin 5,Ambient,-63.9,8.01,27.5,36.66,103,,20230710,Common Garden
7/25/23,14:50,Basin 6,Heated,-65.5,8.12,30.1,36.61,90,,20230710,Common Garden
7/27/23,14:25,Basin 3,Heated,-65.2,8.13,30.4,36.43,,,20230710,Common Garden
7/27/23,14:25,Basin 4,Ambient,-65.9,8.13,28,36.78,,,20230710,Common Garden
7/27/23,14:25,Basin 5,Ambient,-73.2,8.31,27.6,36.66,,,20230710,Common Garden
7/27/23,14:25,Basin 6,Heated,-74.9,8.29,30.2,36.57,,,20230710,Common Garden
8/10/23,15:30,Basin 5,Ambient,-65.5,8.13,28.1,36.22,103,,20230710,Common Garden
8/10/23,15:30,Basin 6,Ambient,-67.9,8.17,28.4,36.23,123,,20230710,Common Garden
8/11/23,13:10,Basin 5,Ambient,-62.8,8.08,28,36.26,273,,20230710,Common Garden
8/11/23,13:10,Basin 6,Ambient,-66.93,8.14,28.3,36.28,412,,20230710,Common Garden
8/18/23,13:30,Basin 5,Ambient,-72.4,8.23,29,36.65,,,20230710,Common Garden
8/18/23,13:30,Basin 6,Ambient,-70.1,8.2,29.4,38.1,,,20230710,Common Garden
