Measurement Name :,7202023R_run19,,Generated On :,"21/07/2023, 16:50:50",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,
21.07.23 16:24:08,10.78,,49.92,47.39,52.2,40.87,33.66,222.25,45.88,47.14,42.87,,27,969,36.5,28.46,
21.07.23 16:24:23,11.03,,52.2,46.13,51.19,40.87,33.91,221.28,42.37,46.89,43.37,,27,969,36.5,28.41,
21.07.23 16:24:38,11.28,,47.9,46.64,51.44,40.62,33.41,221.93,44.37,47.64,43.87,,27,969,36.5,28.4,
21.07.23 16:24:53,11.53,,48.15,50.68,50.42,39.87,32.92,221.28,42.12,47.14,45.38,,27,969,36.5,28.38,
21.07.23 16:25:08,11.78,,46.89,46.64,49.92,40.12,32.92,220.63,41.37,46.13,43.62,,27,969,36.5,28.35,
21.07.23 16:25:23,12.03,,45.38,47.64,49.92,39.62,34.9,221.93,41.87,49.92,43.62,,27,969,36.5,28.32,
21.07.23 16:25:38,12.28,,46.13,46.89,48.65,40.87,34.16,221.28,40.87,45.88,42.87,,27,969,36.5,28.29,
21.07.23 16:25:53,12.53,,52.71,45.38,48.91,39.87,33.66,220.95,41.62,45.88,41.87,,27,969,36.5,28.28,
21.07.23 16:26:08,12.78,,51.19,48.65,50.68,39.87,32.67,220.95,41.12,45.13,43.12,,27,969,36.5,28.25,
21.07.23 16:26:23,13.03,,52.2,46.13,47.39,40.12,35.39,220.63,40.87,46.64,45.13,,27,969,36.5,28.21,
21.07.23 16:26:38,13.28,,48.91,49.92,47.14,39.37,32.18,219.33,41.62,45.38,44.37,,27,969,36.5,28.19,
21.07.23 16:26:53,13.53,,47.14,50.42,48.91,40.37,32.18,219.98,41.37,47.14,42.37,,27,969,36.5,28.15,
21.07.23 16:27:08,13.78,,52.45,49.41,45.63,41.62,31.93,218.03,40.62,44.87,43.12,,27,969,36.5,28.14,
21.07.23 16:27:23,14.03,,45.63,49.16,45.13,38.87,32.18,219,40.87,43.62,41.62,,27,969,36.5,28.11,
21.07.23 16:27:38,14.28,,46.89,50.93,45.38,39.62,32.67,219,40.87,44.37,43.12,,27,969,36.5,28.11,
21.07.23 16:27:53,14.53,,53.98,50.17,45.38,39.12,31.69,217.7,40.12,45.13,42.12,,27,969,36.5,28.08,
21.07.23 16:28:08,14.78,,56.53,48.4,44.37,39.12,34.4,218.68,40.37,44.12,42.87,,27,969,36.5,28.07,
21.07.23 16:28:23,15.03,,61.41,53.47,44.12,38.87,34.16,218.68,41.37,43.62,42.12,,27,969,36.5,28.05,
21.07.23 16:28:38,15.28,,58.07,50.17,44.37,39.37,31.93,217.7,40.37,43.87,41.12,,27,969,36.5,28.04,
21.07.23 16:28:53,15.53,,67.62,51.44,44.37,39.12,35.39,217.7,40.87,43.62,43.62,,27,969,36.5,28.04,
21.07.23 16:29:08,15.78,,53.98,49.92,43.62,38.87,33.66,217.06,40.12,42.87,40.62,,27,969,36.5,28.04,
21.07.23 16:29:23,16.03,,50.17,49.92,44.12,39.87,31.93,217.7,42.37,43.12,42.62,,27,969,36.5,28.01,
21.07.23 16:29:38,16.28,,55.26,51.44,43.37,39.37,35.39,217.38,40.12,44.62,43.12,,27,969,36.5,28.01,
21.07.23 16:29:53,16.53,,47.39,59.86,43.37,38.37,34.4,217.7,41.87,43.12,41.62,,27,969,36.5,28.01,
21.07.23 16:30:08,16.78,,58.33,58.07,43.62,39.37,32.92,217.7,40.37,43.62,42.37,,27,969,36.5,28,
21.07.23 16:30:23,17.03,,48.91,46.89,42.87,38.87,31.44,217.7,40.37,43.37,43.37,,27,969,36.5,27.99,
21.07.23 16:30:38,17.28,,45.63,46.13,42.62,38.87,32.43,217.06,39.87,43.37,42.37,,27,969,36.5,27.97,
21.07.23 16:30:53,17.53,,48.15,47.39,42.62,38.62,34.4,217.06,40.12,42.62,47.14,,27,969,36.5,27.97,
21.07.23 16:31:08,17.78,,59.09,47.39,41.87,39.12,33.41,216.73,40.62,43.87,43.12,,27,969,36.5,27.97,
21.07.23 16:31:23,18.03,,46.89,46.64,42.87,38.87,34.16,216.73,40.62,42.62,41.12,,27,969,36.5,27.96,
21.07.23 16:31:38,18.28,,54.49,46.38,41.87,38.62,36.14,217.38,39.37,43.37,45.63,,27,969,36.5,27.94,
21.07.23 16:31:53,18.53,,44.37,44.37,41.37,40.87,33.66,216.73,40.12,42.12,41.12,,27,969,36.5,27.91,
21.07.23 16:32:08,18.78,,54.49,45.63,41.87,38.37,33.17,216.09,40.12,47.14,41.87,,27,969,36.5,27.91,
21.07.23 16:32:23,19.03,,52.71,44.87,41.12,38.87,34.4,215.76,40.62,43.62,42.87,,27,969,36.5,27.9,
21.07.23 16:32:38,19.28,,51.19,48.4,41.12,38.87,31.69,215.76,40.62,43.62,44.62,,27,969,36.5,27.89,
21.07.23 16:32:53,19.53,,50.68,48.65,40.37,38.12,33.17,215.12,39.87,42.37,40.87,,27,969,36.5,27.86,
21.07.23 16:33:08,19.78,,54.24,48.91,40.37,37.13,33.41,216.09,40.37,43.12,44.87,,27,969,36.5,27.86,
21.07.23 16:33:23,20.03,,44.37,48.91,40.62,38.37,32.18,216.41,39.62,44.87,42.12,,27,969,36.5,27.83,
21.07.23 16:33:38,20.28,,55.51,48.65,40.12,37.63,31.44,215.44,40.37,42.12,43.12,,27,969,36.5,27.8,
21.07.23 16:33:53,20.53,,58.33,48.65,40.12,38.62,33.91,215.44,39.87,41.62,44.62,,27,969,36.5,27.79,
21.07.23 16:34:08,20.78,,49.41,47.64,39.87,37.63,33.41,214.8,41.62,42.62,40.12,,27,969,36.5,27.78,
21.07.23 16:34:23,21.03,,62.96,44.37,39.62,38.12,31.93,214.8,46.64,50.17,44.37,,27,969,36.5,27.76,
21.07.23 16:34:38,21.28,,58.84,44.87,38.87,40.62,30.95,214.47,39.62,45.63,44.87,,27,969,36.5,27.75,
21.07.23 16:34:53,21.53,,55.26,44.12,38.87,38.12,32.67,214.47,40.87,42.12,40.62,,27,969,36.5,27.72,
21.07.23 16:35:08,21.78,,49.41,45.13,39.12,40.37,32.18,215.12,42.12,42.87,41.62,,27,969,36.5,27.72,
21.07.23 16:35:23,22.03,,52.96,45.63,39.37,40.87,33.91,214.15,42.62,43.87,43.12,,27,969,36.5,27.69,
21.07.23 16:35:38,22.28,,62.7,44.12,38.87,39.87,31.69,214.8,43.62,41.37,43.37,,27,969,36.5,27.68,
21.07.23 16:35:53,22.53,,47.9,43.62,39.37,37.38,35.15,214.47,41.12,41.87,40.37,,27,969,36.5,27.68,
21.07.23 16:36:08,22.78,,50.68,43.37,38.87,36.88,34.9,213.83,39.87,41.87,41.87,,27,969,36.5,27.66,
21.07.23 16:36:23,23.03,,53.47,43.12,38.37,38.12,34.16,214.15,40.12,46.64,43.62,,27,969,36.5,27.65,
21.07.23 16:36:38,23.28,,46.64,44.12,38.62,37.13,32.18,213.19,39.37,44.62,43.12,,27,969,36.5,27.64,
21.07.23 16:36:53,23.53,,48.15,43.37,37.38,37.13,34.9,212.86,39.62,40.87,41.87,,27,969,36.5,27.63,
21.07.23 16:37:08,23.78,,50.42,44.62,38.37,38.12,35.64,213.19,40.37,44.12,41.62,,27,969,36.5,27.61,
21.07.23 16:37:23,24.03,,51.69,43.87,38.37,37.13,34.65,213.51,39.87,42.37,42.12,,27,969,36.5,27.6,
21.07.23 16:37:38,24.28,,48.4,43.62,38.12,37.13,31.19,213.83,39.12,44.12,46.38,,27,969,36.5,27.58,
21.07.23 16:37:53,24.53,,45.38,43.37,37.63,37.38,32.18,213.51,39.37,47.64,44.37,,27,969,36.5,27.58,
21.07.23 16:38:08,24.78,,47.64,43.87,37.63,37.38,31.69,213.83,39.37,49.67,43.37,,27,969,36.5,27.55,
21.07.23 16:38:23,25.03,,59.09,49.41,37.63,37.13,30.7,212.22,41.62,46.89,43.37,,27,969,36.5,27.54,
21.07.23 16:38:38,25.28,,42.87,45.38,37.13,37.63,31.93,212.54,39.87,49.16,41.37,,27,969,36.5,27.54,
21.07.23 16:38:53,25.53,,52.96,44.62,36.88,40.87,30.21,211.9,38.87,46.64,41.62,,27,969,36.5,27.54,
21.07.23 16:39:08,25.78,,54.49,45.63,36.63,37.13,30.21,211.58,40.62,43.12,42.12,,27,969,36.5,27.51,
21.07.23 16:39:23,26.03,,54.75,43.37,36.63,37.13,34.4,212.22,38.87,46.38,39.87,,27,969,36.5,27.51,
21.07.23 16:39:38,26.28,,54.49,47.14,36.63,36.14,33.41,211.9,43.87,42.12,40.62,,27,969,36.5,27.49,
21.07.23 16:39:53,26.53,,48.15,43.12,36.38,36.63,32.67,212.54,39.37,40.87,41.87,,27,969,36.5,27.49,
21.07.23 16:40:08,26.78,,43.62,45.88,36.63,36.38,34.16,210.62,38.62,44.62,44.62,,27,969,36.5,27.47,
21.07.23 16:40:23,27.03,,44.87,43.12,37.13,36.38,35.39,212.22,40.12,45.38,42.37,,27,969,36.5,27.46,
21.07.23 16:40:38,27.28,,62.7,44.62,35.89,36.38,33.66,211.58,38.62,40.87,42.87,,27,969,36.5,27.44,
21.07.23 16:40:53,27.53,,57.04,43.12,36.14,35.64,31.19,211.9,38.62,46.13,43.62,,27,969,36.5,27.43,
21.07.23 16:41:08,27.78,,46.38,43.87,35.89,36.63,31.93,212.22,37.88,44.87,42.62,,27,969,36.5,27.43,
21.07.23 16:41:23,28.03,,47.9,43.87,35.89,36.38,33.66,211.58,38.12,43.37,44.12,,27,969,36.5,27.41,
21.07.23 16:41:38,28.28,,43.62,44.62,35.89,38.12,31.44,211.26,38.62,41.87,39.62,,27,969,36.5,27.41,
21.07.23 16:41:53,28.53,,56.79,45.38,36.14,39.62,29.72,210.62,38.37,40.12,40.62,,27,969,36.5,27.4,
21.07.23 16:42:08,28.78,,49.41,45.13,35.39,39.12,30.95,210.62,39.62,40.37,39.62,,27,969,36.5,27.4,
21.07.23 16:42:23,29.03,,51.95,43.12,37.38,40.12,29.72,210.3,38.87,43.12,46.89,,27,969,36.5,27.4,
21.07.23 16:42:38,29.28,,47.39,50.42,35.64,40.12,36.63,210.62,38.37,44.12,45.63,,27,969,36.5,27.38,
21.07.23 16:42:53,29.53,,42.37,43.12,35.89,43.37,31.19,211.26,38.87,45.88,45.88,,27,969,36.5,27.36,
21.07.23 16:43:08,29.78,,46.38,46.13,36.14,37.88,30.46,210.94,38.37,43.37,45.63,,27,969,36.5,27.36,
21.07.23 16:43:23,30.03,,51.44,42.87,35.15,40.12,31.44,210.94,38.37,43.87,40.12,,27,969,36.5,27.36,
21.07.23 16:43:38,30.28,,47.14,47.39,34.9,40.62,35.89,210.3,37.88,41.37,44.87,,27,969,36.5,27.36,
21.07.23 16:43:53,30.53,,46.13,44.12,35.64,39.87,30.7,209.97,38.87,42.12,43.37,,27,969,36.5,27.35,
21.07.23 16:44:08,30.78,,53.98,46.38,34.4,40.12,31.19,209.33,37.63,39.87,43.62,,27,969,36.5,27.33,
21.07.23 16:44:23,31.03,,43.12,45.13,35.15,39.37,37.38,210.62,38.62,45.38,40.87,,27,969,36.5,27.33,
21.07.23 16:44:38,31.28,,52.71,43.12,35.15,37.88,35.64,209.97,37.88,41.62,41.12,,27,969,36.5,27.3,
21.07.23 16:44:53,31.53,,57.56,44.12,34.9,38.12,29.47,210.3,38.37,40.12,44.12,,27,969,36.5,27.32,
21.07.23 16:45:08,31.78,,48.91,44.87,34.16,40.37,31.69,209.33,40.87,46.89,40.37,,27,969,36.5,27.29,
21.07.23 16:45:23,32.03,,42.62,44.12,35.15,42.62,32.18,209.65,37.38,42.37,42.37,,27,969,36.5,27.29,
21.07.23 16:45:38,32.28,,55.77,45.63,36.14,38.12,29.96,209.33,39.12,47.9,45.63,,27,969,36.5,27.28,
21.07.23 16:45:53,32.53,,49.92,43.37,36.38,42.12,34.9,209.65,39.87,50.17,41.62,,27,969,36.5,27.29,
21.07.23 16:46:08,32.78,,51.69,44.62,34.9,46.13,31.69,208.7,37.88,45.13,48.15,,27,969,36.5,27.26,
21.07.23 16:46:23,33.03,,59.09,42.62,36.14,43.37,34.16,209.33,40.37,47.39,53.47,,27,969,36.5,27.26,
21.07.23 16:46:39,33.3,,44.12,42.87,34.65,42.62,32.43,209.33,37.63,52.45,42.62,,27,969,36.5,27.26,
21.07.23 16:46:54,33.55,,53.47,44.37,34.16,36.38,30.7,209.33,38.62,46.38,42.37,,27,969,36.5,27.25,
21.07.23 16:47:08,33.78,,56.28,48.15,34.65,36.14,34.9,209.01,38.87,47.39,43.37,,27,969,36.5,27.24,
21.07.23 16:47:24,34.05,,51.95,46.13,35.64,35.89,31.69,208.7,38.37,45.88,43.37,,27,969,36.5,27.24,
21.07.23 16:47:39,34.3,,52.45,47.39,34.9,35.39,29.96,209.65,37.88,44.12,45.13,,27,969,36.5,27.24,
21.07.23 16:47:54,34.55,,43.87,45.38,34.9,36.14,30.95,209.65,37.88,49.16,39.87,,27,969,36.5,27.22,
21.07.23 16:48:08,34.78,,45.63,48.65,34.9,37.38,30.21,209.65,39.87,42.62,40.87,,27,969,36.5,27.24,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
