Measurement Name :,7182023R_11,,,,,,,,,Generated On :,"18/07/2023, 16:10:36",,,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,
18.07.23 16:06:53,31.03,63,63,63,63,63,63,63,50.54,40.85,55.45,45.68,45.68,63,49.38,38.79,58.97,48.22,63,63,63,63,214.64,231.55,225.66,30,969,36.5,31.33,
18.07.23 16:07:08,31.28,64,64,64,64,64,64,64,50.08,39.93,51.94,48.68,43.14,64,48.45,38.34,58.5,47.53,64,64,64,64,214.34,231.55,225.04,30,969,36.5,31.36,
18.07.23 16:07:23,31.53,62,62,62,62,62,62,62,50.77,39.93,53.81,49.84,42.45,62,48.68,42.91,58.97,47.29,62,62,62,62,214.95,231.24,225.66,30,969,36.5,31.36,
18.07.23 16:07:38,31.78,63,63,63,63,63,63,63,51.94,39.25,53.11,44.98,42.91,63,50.08,39.02,58.74,47.06,63,63,63,63,215.25,231.55,225.97,30,969,36.5,31.36,
18.07.23 16:07:53,32.03,61,61,61,61,61,61,61,50.31,39.25,54.74,47.53,42.22,61,47.53,39.25,58.5,46.37,61,61,61,61,214.95,231.86,224.73,30,969,36.5,31.36,
18.07.23 16:08:08,32.28,62,62,62,62,62,62,62,49.84,38.34,54.27,46.37,43.14,62,47.76,38.56,58.03,46.14,62,62,62,62,215.25,231.55,225.97,30,969,36.5,31.36,
18.07.23 16:08:23,32.53,60,60,60,60,60,60,60,46.83,41.54,52.41,42.91,42.45,60,47.06,39.93,58.27,45.68,60,60,60,60,214.95,231.86,225.66,30,969,36.5,31.36,
18.07.23 16:08:38,32.78,61,61,61,61,61,61,61,46.83,41.08,52.17,42.68,39.48,61,48.22,38.34,57.8,45.68,61,61,61,61,214.95,231.24,225.35,30,969,36.5,31.36,
18.07.23 16:08:53,33.03,59,59,59,59,59,59,59,47.06,39.93,54.04,43.14,40.16,59,46.37,38.34,56.62,42.68,59,59,59,59,214.95,231.86,225.35,30,969,36.5,31.36,
18.07.23 16:09:08,33.28,60,60,60,60,60,60,60,45.21,36.97,51.24,43.14,39.93,60,46.37,38.11,56.62,42.22,60,60,60,60,215.25,230.62,225.35,30,969,36.5,31.36,
18.07.23 16:09:23,33.53,58,58,58,58,58,58,58,45.21,37.43,50.08,47.53,40.62,58,51.94,38.56,56.85,42,58,58,58,58,214.64,231.55,225.04,30,969,36.5,31.35,
18.07.23 16:09:38,33.78,59,59,59,59,59,59,59,44.98,36.74,50.54,45.68,44.98,59,48.45,40.85,55.68,42.45,59,59,59,59,214.64,232.17,226.28,30,969,36.5,31.36,
