Measurement Name :,7212023R_run20,,,,,,,,Generated On :,"21/07/2023, 18:40:04",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,
21.07.23 18:15:05,10.53,104,104,104,104,104,104,191.12,243.81,186.76,183.86,162,230.62,265.45,218.29,205.91,104,104,104,104,104,104,104,104,104,30,969,36.5,30.68,
21.07.23 18:15:20,10.78,105,105,105,105,105,105,184.44,241.6,184.44,183.57,155.07,229.99,264.79,218.29,205.91,105,105,105,105,105,105,105,105,105,30,969,36.5,30.68,
21.07.23 18:15:35,11.03,103,103,103,103,103,103,181.55,240.02,179.26,177.82,148.48,227.82,262.17,217.99,205.61,103,103,103,103,103,103,103,103,103,30,969,36.5,30.68,
21.07.23 18:15:50,11.28,104,104,104,104,104,104,173.83,239.38,177.25,178.68,146.58,226.89,260.87,217.68,206.51,104,104,104,104,104,104,104,104,104,30,969,36.5,30.66,
21.07.23 18:16:05,11.53,102,102,102,102,102,102,173.55,238.12,172.98,174.68,147.12,226.59,257.62,218.91,205.91,102,102,102,102,102,102,102,102,102,30,969,36.5,30.68,
21.07.23 18:16:20,11.78,103,103,103,103,103,103,174.4,235.3,172.41,173.55,144.13,225.04,252.45,217.68,205.31,103,103,103,103,103,103,103,103,103,30,969,36.5,30.65,
21.07.23 18:16:35,12.03,101,101,101,101,101,101,175.82,239.07,167.33,172.7,151.77,223.5,249.88,217.99,205.31,101,101,101,101,101,101,101,101,101,30,969,36.5,30.65,
21.07.23 18:16:50,12.28,102,102,102,102,102,102,175.82,238.75,163.12,166.76,146.03,222.89,245.72,217.99,205.31,102,102,102,102,102,102,102,102,102,30,969,36.5,30.65,
21.07.23 18:17:05,12.53,100,100,100,100,100,100,174.97,229.06,160.33,165.36,139.54,221.97,243.18,218.29,205.31,100,100,100,100,100,100,100,100,100,30,969,36.5,30.65,
21.07.23 18:17:20,12.78,101,101,101,101,101,101,177.25,225.97,157.28,162.84,140.62,222.27,243.5,217.38,205.61,101,101,101,101,101,101,101,101,101,30,969,36.5,30.65,
21.07.23 18:17:35,13.03,99,99,99,99,99,99,173.83,223.81,156.45,160.05,143.59,220.74,237.81,217.99,204.71,99,99,99,99,99,99,99,99,99,30,969,36.5,30.65,
21.07.23 18:17:50,13.28,100,100,100,100,100,100,160.89,221.35,156.45,157.83,130.73,215.55,228.13,216.77,204.41,100,100,100,100,100,100,100,100,100,30,969,36.5,30.65,
21.07.23 18:18:05,13.53,98,98,98,98,98,98,162.28,217.08,153.14,156.17,130.46,213.74,224.73,217.08,205.01,98,98,98,98,98,98,98,98,98,30,969,36.5,30.65,
21.07.23 18:18:20,13.78,99,99,99,99,99,99,157.28,211.32,153.42,154.24,128.08,210.41,221.35,217.68,205.01,99,99,99,99,99,99,99,99,99,30,969,36.5,30.65,
21.07.23 18:18:35,14.03,97,97,97,97,97,97,162.56,216.77,148.76,151.49,123.08,207.11,218.6,217.68,204.41,97,97,97,97,97,97,97,97,97,30,969,36.5,30.64,
21.07.23 18:18:50,14.28,98,98,98,98,98,98,169.58,212.22,145.49,151.77,122.56,205.61,215.86,217.08,204.12,98,98,98,98,98,98,98,98,98,30,969,36.5,30.64,
21.07.23 18:19:05,14.53,96,96,96,96,96,96,153.14,200.84,144.4,148.48,124.39,206.21,214.34,217.68,204.41,96,96,96,96,96,96,96,96,96,30,969,36.5,30.63,
21.07.23 18:19:20,14.78,97,97,97,97,97,97,152.87,200.55,141.97,143.59,127.55,205.31,212.83,217.38,204.71,97,97,97,97,97,97,97,97,97,30,969,36.5,30.63,
21.07.23 18:19:35,15.03,95,95,95,95,95,95,154.79,204.12,141.7,141.16,121.77,202.33,210.11,217.38,204.41,95,95,95,95,95,95,95,95,95,30,969,36.5,30.64,
21.07.23 18:19:50,15.28,96,96,96,96,96,96,156.73,197.29,140.62,137.93,112.44,201.73,209.21,217.08,205.01,96,96,96,96,96,96,96,96,96,30,969,36.5,30.64,
21.07.23 18:20:05,15.53,94,94,94,94,94,94,154.79,190.83,135.52,137.66,115.02,198.77,209.51,216.77,204.41,94,94,94,94,94,94,94,94,94,30,969,36.5,30.64,
21.07.23 18:20:20,15.78,95,95,95,95,95,95,152.04,197.59,134.99,131.52,114.76,196.11,206.21,217.08,204.41,95,95,95,95,95,95,95,95,95,30,969,36.5,30.63,
21.07.23 18:20:35,16.03,93,93,93,93,93,93,154.79,188.21,132.85,128.08,115.53,194.94,204.12,217.08,204.41,93,93,93,93,93,93,93,93,93,30,969,36.5,30.61,
21.07.23 18:20:50,16.28,94,94,94,94,94,94,158.94,187.34,131.79,124.92,118.39,193.17,203.22,217.08,204.41,94,94,94,94,94,94,94,94,94,30,969,36.5,30.61,
21.07.23 18:21:05,16.53,92,92,92,92,92,92,141.97,184.73,130.73,123.35,107.05,191.42,202.63,216.47,204.12,92,92,92,92,92,92,92,92,92,30,969,36.5,30.61,
21.07.23 18:21:20,16.78,93,93,93,93,93,93,143.05,189.37,130.99,121.25,106.29,189.08,201.14,216.47,203.82,93,93,93,93,93,93,93,93,93,30,969,36.5,30.61,
21.07.23 18:21:35,17.03,91,91,91,91,91,91,137.13,181.84,128.08,118.91,108.59,187.63,199.95,216.47,203.82,91,91,91,91,91,91,91,91,91,30,969,36.5,30.61,
21.07.23 18:21:50,17.28,92,92,92,92,92,92,131.79,176.68,126.76,117.87,107.82,186.47,198.47,216.47,203.82,92,92,92,92,92,92,92,92,92,30,969,36.5,30.61,
21.07.23 18:22:05,17.53,90,90,90,90,90,90,130.99,165.08,125.71,115.79,104.25,187.63,196.7,216.77,203.82,90,90,90,90,90,90,90,90,90,30,969,36.5,30.61,
21.07.23 18:22:20,17.78,91,91,91,91,91,91,139.54,166.2,124.13,113.21,102.48,184.73,194.64,216.16,203.52,91,91,91,91,91,91,91,91,91,30,969,36.5,30.61,
21.07.23 18:22:35,18.03,89,89,89,89,89,89,140.62,167.89,122.82,112.44,95.42,180.4,196.11,216.47,203.52,89,89,89,89,89,89,89,89,89,30,969,36.5,30.61,
21.07.23 18:22:50,18.28,90,90,90,90,90,90,133.65,163.12,120.73,109.35,98.69,178.11,188.5,216.47,203.52,90,90,90,90,90,90,90,90,90,30,969,36.5,30.6,
21.07.23 18:23:05,18.53,88,88,88,88,88,88,123.87,161.73,118.13,106.8,98.19,173.83,185.31,217.08,203.22,88,88,88,88,88,88,88,88,88,30,969,36.5,30.6,
21.07.23 18:23:20,18.78,89,89,89,89,89,89,122.82,153.97,115.53,104.76,93.17,171.28,182.71,216.16,203.52,89,89,89,89,89,89,89,89,89,30,969,36.5,30.6,
21.07.23 18:23:35,19.03,87,87,87,87,87,87,124.13,152.87,113.47,102.73,92.18,165.64,189.37,215.86,203.52,87,87,87,87,87,87,87,87,87,30,969,36.5,30.6,
21.07.23 18:23:50,19.28,88,88,88,88,88,88,122.82,151.49,112.18,102.22,88.45,161.73,184.73,216.77,203.52,88,88,88,88,88,88,88,88,88,30,969,36.5,30.58,
21.07.23 18:24:05,19.53,86,86,86,86,86,86,118.13,154.52,112.18,98.44,90.93,160.33,181.27,216.47,203.52,86,86,86,86,86,86,86,86,86,30,969,36.5,30.58,
21.07.23 18:24:20,19.78,87,87,87,87,87,87,117.87,148.21,107.56,97.68,86.72,159.78,169.58,216.47,203.52,87,87,87,87,87,87,87,87,87,30,969,36.5,30.6,
21.07.23 18:24:35,20.03,85,85,85,85,85,85,118.13,147.94,106.29,94.17,85.49,159.22,167.61,215.86,202.92,85,85,85,85,85,85,85,85,85,30,969,36.5,30.58,
21.07.23 18:24:50,20.28,86,86,86,86,86,86,121.51,146.03,104.25,94.67,85.24,158.94,166.48,216.16,203.22,86,86,86,86,86,86,86,86,86,30,969,36.5,30.6,
21.07.23 18:25:05,20.53,84,84,84,84,84,84,110.89,144.13,101.72,92.18,78.63,159.22,164.8,215.55,202.33,84,84,84,84,84,84,84,84,84,30,969,36.5,30.58,
21.07.23 18:25:20,20.78,85,85,85,85,85,85,115.27,142.78,99.7,89.94,78.63,156.45,163.96,216.16,202.63,85,85,85,85,85,85,85,85,85,30,969,36.5,30.58,
21.07.23 18:25:35,21.03,83,83,83,83,83,83,115.02,142.51,98.44,85.74,79.36,154.52,161.17,215.25,202.33,83,83,83,83,83,83,83,83,83,30,969,36.5,30.58,
21.07.23 18:25:50,21.28,84,84,84,84,84,84,117.61,138.74,97.68,83.77,74.02,149.58,160.33,215.55,202.63,84,84,84,84,84,84,84,84,84,30,969,36.5,30.58,
21.07.23 18:26:05,21.53,82,82,82,82,82,82,109.1,133.92,95.67,83.77,83.52,145.76,164.24,216.16,202.63,82,82,82,82,82,82,82,82,82,30,969,36.5,30.58,
21.07.23 18:26:20,21.78,83,83,83,83,83,83,107.05,130.2,95.17,80.83,75.71,143.59,154.52,215.25,202.63,83,83,83,83,83,83,83,83,83,30,969,36.5,30.58,
21.07.23 18:26:35,22.03,81,81,81,81,81,81,105.27,126.5,94.17,78.63,76.44,141.16,159.22,216.16,202.33,81,81,81,81,81,81,81,81,81,30,969,36.5,30.57,
21.07.23 18:26:50,22.28,82,82,82,82,82,82,102.48,123.08,92.43,76.68,70.4,137.39,156.17,216.16,202.92,82,82,82,82,82,82,82,82,82,30,969,36.5,30.57,
21.07.23 18:27:05,22.53,80,80,80,80,80,80,97.68,121.77,90.93,74.99,66.81,136.59,151.22,215.25,201.73,80,80,80,80,80,80,80,80,80,30,969,36.5,30.58,
21.07.23 18:27:20,22.78,81,81,81,81,81,81,101.72,118.39,89.44,73.78,70.16,136.05,139,215.86,202.33,81,81,81,81,81,81,81,81,81,30,969,36.5,30.58,
21.07.23 18:27:35,23.03,79,79,79,79,79,79,94.42,115.27,87.22,72.33,68,136.05,136.32,215.55,202.03,79,79,79,79,79,79,79,79,79,30,969,36.5,30.57,
21.07.23 18:27:50,23.28,80,80,80,80,80,80,97.18,115.53,84.75,71.61,75.71,133.92,131.79,216.47,202.03,80,80,80,80,80,80,80,80,80,30,969,36.5,30.58,
21.07.23 18:28:05,23.53,78,78,78,78,78,78,93.67,112.69,83.28,70.64,65.61,130.99,131.26,215.55,201.44,78,78,78,78,78,78,78,78,78,30,969,36.5,30.57,
21.07.23 18:28:20,23.78,79,79,79,79,79,79,91.68,109.87,81.8,69.68,72.33,129.67,128.87,214.95,202.03,79,79,79,79,79,79,79,79,79,30,969,36.5,30.58,
21.07.23 18:28:35,24.03,77,77,77,77,77,77,94.17,107.56,80.83,68.24,59.68,129.93,127.02,214.95,201.73,77,77,77,77,77,77,77,77,77,30,969,36.5,30.58,
21.07.23 18:28:50,24.28,78,78,78,78,78,78,91.68,104.76,80.34,68,63.95,128.08,124.92,215.55,201.73,78,78,78,78,78,78,78,78,78,30,969,36.5,30.58,
21.07.23 18:29:05,24.53,76,76,76,76,76,76,92.68,102.48,80.09,67.53,65.61,127.29,123.35,215.55,202.03,76,76,76,76,76,76,76,76,76,30,969,36.5,30.6,
21.07.23 18:29:20,24.78,77,77,77,77,77,77,85.49,99.95,79.36,65.61,60.63,124.13,119.95,215.25,201.14,77,77,77,77,77,77,77,77,77,30,969,36.5,30.58,
21.07.23 18:29:35,25.03,75,75,75,75,75,75,89.2,98.44,77.17,65.38,62.05,119.95,118.65,215.86,201.44,75,75,75,75,75,75,75,75,75,30,969,36.5,30.58,
21.07.23 18:29:50,25.28,76,76,76,76,76,76,81.32,97.43,76.44,64.66,57.56,115.53,116.57,215.25,202.03,76,76,76,76,76,76,76,76,76,30,969,36.5,30.58,
21.07.23 18:30:05,25.53,74,74,74,74,74,74,79.85,97.18,75.47,63.71,54.74,114.24,123.08,215.25,201.73,74,74,74,74,74,74,74,74,74,30,969,36.5,30.58,
21.07.23 18:30:20,25.78,75,75,75,75,75,75,79.36,96.18,74.5,62.05,58.5,112.44,111.41,215.25,202.03,75,75,75,75,75,75,75,75,75,30,969,36.5,30.57,
21.07.23 18:30:35,26.03,73,73,73,73,73,73,79.85,96.43,74.02,62.05,58.5,109.35,109.61,214.95,201.73,73,73,73,73,73,73,73,73,73,30,969,36.5,30.6,
21.07.23 18:30:50,26.28,74,74,74,74,74,74,78.39,95.17,72.81,60.15,53.57,107.82,108.59,214.04,201.14,74,74,74,74,74,74,74,74,74,30,969,36.5,30.58,
21.07.23 18:31:05,26.53,72,72,72,72,72,72,77.9,96.68,72.57,60.63,53.81,105.52,105.78,214.64,201.44,72,72,72,72,72,72,72,72,72,30,969,36.5,30.58,
21.07.23 18:31:20,26.78,73,73,73,73,73,73,76.44,98.44,71.12,57.8,53.81,104.25,105.01,215.55,201.73,73,73,73,73,73,73,73,73,73,30,969,36.5,30.6,
21.07.23 18:31:35,27.03,71,71,71,71,71,71,80.34,90.93,70.4,56.62,51.01,103.49,102.22,213.74,201.44,71,71,71,71,71,71,71,71,71,30,969,36.5,30.58,
21.07.23 18:31:50,27.28,72,72,72,72,72,72,78.39,82.79,69.92,55.68,52.64,101.21,100.71,214.95,200.84,72,72,72,72,72,72,72,72,72,30,969,36.5,30.6,
21.07.23 18:32:05,27.53,70,70,70,70,70,70,73.54,79.85,69.44,55.68,50.31,99.44,98.69,214.95,200.84,70,70,70,70,70,70,70,70,70,30,969,36.5,30.58,
21.07.23 18:32:20,27.78,71,71,71,71,71,71,72.57,78.14,68.96,54.27,48.22,99.19,96.68,214.95,201.44,71,71,71,71,71,71,71,71,71,30,969,36.5,30.58,
21.07.23 18:32:35,28.03,69,69,69,69,69,69,72.57,77.17,67.76,52.17,47.53,94.17,95.42,214.04,201.14,69,69,69,69,69,69,69,69,69,30,969,36.5,30.61,
21.07.23 18:32:50,28.28,70,70,70,70,70,70,71.85,77.17,67.76,50.77,51.71,93.67,92.43,215.25,201.44,70,70,70,70,70,70,70,70,70,30,969,36.5,30.6,
21.07.23 18:33:05,28.53,68,68,68,68,68,68,73.54,76.44,65.85,50.08,44.29,91.68,89.69,214.34,201.14,68,68,68,68,68,68,68,68,68,30,969,36.5,30.61,
21.07.23 18:33:20,28.78,69,69,69,69,69,69,71.85,75.96,63.95,49.15,44.52,90.19,87.46,214.95,200.84,69,69,69,69,69,69,69,69,69,30,969,36.5,30.6,
21.07.23 18:33:35,29.03,67,67,67,67,67,67,70.4,74.74,63.71,48.92,45.21,88.95,85,214.34,200.84,67,67,67,67,67,67,67,67,67,30,969,36.5,30.58,
21.07.23 18:33:50,29.28,68,68,68,68,68,68,68.72,74.26,62.29,48.22,47.06,92.18,84.75,214.64,200.84,68,68,68,68,68,68,68,68,68,30,969,36.5,30.61,
21.07.23 18:34:05,29.53,66,66,66,66,66,66,67.05,73.78,60.86,46.83,47.76,89.94,83.52,214.95,200.55,66,66,66,66,66,66,66,66,66,30,969,36.5,30.6,
21.07.23 18:34:20,29.78,67,67,67,67,67,67,69.2,73.05,59.45,46.83,47.76,87.22,84.26,214.34,200.55,67,67,67,67,67,67,67,67,67,30,969,36.5,30.61,
21.07.23 18:34:35,30.03,65,65,65,65,65,65,66.33,72.09,59.68,46.6,48.68,81.56,81.07,214.64,200.55,65,65,65,65,65,65,65,65,65,30,969,36.5,30.6,
21.07.23 18:34:50,30.28,66,66,66,66,66,66,63.47,71.61,58.74,45.68,47.29,80.58,90.44,214.34,200.55,66,66,66,66,66,66,66,66,66,30,969,36.5,30.6,
21.07.23 18:35:05,30.53,64,64,64,64,64,64,64.19,71.61,57.8,45.21,42.22,80.09,82.54,213.74,200.55,64,64,64,64,64,64,64,64,64,30,969,36.5,30.61,
21.07.23 18:35:20,30.78,65,65,65,65,65,65,62.29,70.16,57.56,44.75,42.22,78.63,78.63,213.74,200.55,65,65,65,65,65,65,65,65,65,30,969,36.5,30.61,
21.07.23 18:35:36,31.05,63,63,63,63,63,63,61.81,68.72,56.85,44.75,42,78.87,76.68,214.34,200.55,63,63,63,63,63,63,63,63,63,30,969,36.5,30.61,
21.07.23 18:35:51,31.3,64,64,64,64,64,64,61.1,68,55.68,43.37,41.31,76.44,70.16,214.64,200.25,64,64,64,64,64,64,64,64,64,30,969,36.5,30.61,
21.07.23 18:36:06,31.55,62,62,62,62,62,62,60.63,67.76,54.74,43.6,44.52,75.96,68,214.64,200.55,62,62,62,62,62,62,62,62,62,30,969,36.5,30.61,
21.07.23 18:36:21,31.8,63,63,63,63,63,63,60.63,67.29,54.74,43.6,45.45,74.74,68,214.64,200.55,63,63,63,63,63,63,63,63,63,30,969,36.5,30.61,
21.07.23 18:36:36,32.05,61,61,61,61,61,61,59.92,67.05,53.81,44.06,43.6,73.29,67.05,213.74,200.25,61,61,61,61,61,61,61,61,61,30,969,36.5,30.61,
21.07.23 18:36:51,32.3,62,62,62,62,62,62,59.92,66.33,53.81,42,44.52,72.81,71.61,214.04,199.95,62,62,62,62,62,62,62,62,62,30,969,36.5,30.61,
21.07.23 18:37:06,32.55,60,60,60,60,60,60,58.97,71.36,52.64,41.77,45.91,71.61,71.61,214.64,200.25,60,60,60,60,60,60,60,60,60,30,969,36.5,30.61,
21.07.23 18:37:21,32.8,61,61,61,61,61,61,61.81,64.19,51.94,41.54,42.45,71.12,70.64,214.34,199.66,61,61,61,61,61,61,61,61,61,30,969,36.5,30.61,
