Measurement Name :,7202023Ruse,,Generated On :,"20/07/2023, 12:21:29",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,
20.07.23 12:02:31,17.55,144.63,151.36,176.83,149.31,149.6,163.83,161.44,103.11,238.08,228.8,227.82,240.75,235.42,,27,969,36.5,28.78,
20.07.23 12:02:46,17.8,145.8,151.36,175,149.6,149.6,154.31,157.27,105.3,238.41,228.8,228.47,241.09,235.75,,27,969,36.5,28.76,
20.07.23 12:03:01,18.05,145.21,151.07,178.97,148.13,149.01,153.13,157.86,100.37,238.08,227.82,227.16,241.09,234.75,,27,969,36.5,28.76,
20.07.23 12:03:16,18.3,144.34,149.89,177.14,150.19,147.84,153.13,155.79,99.01,237.74,228.47,226.5,241.09,234.42,,27,969,36.5,28.76,
20.07.23 12:03:31,18.55,143.76,149.89,166.23,146.09,146.38,145.21,160.84,99.56,238.41,227.82,226.83,240.08,234.09,,27,969,36.5,28.75,
20.07.23 12:03:46,18.8,149.31,149.01,163.23,145.21,142.88,140.85,144.63,103.11,237.41,227.82,226.18,239.75,234.09,,27,969,36.5,28.75,
20.07.23 12:04:01,19.05,147.84,149.6,160.84,143.76,143.47,139.12,141.43,101.74,237.74,227.16,226.5,239.41,233.76,,27,969,36.5,28.74,
20.07.23 12:04:16,19.3,145.5,150.48,160.54,142.88,143.17,136.23,140.27,95.21,237.41,227.16,227.82,240.08,234.75,,27,969,36.5,28.72,
20.07.23 12:04:31,19.55,138.83,149.89,159.35,143.47,143.76,136.81,149.6,93.86,237.41,227.16,227.49,239.75,234.75,,27,969,36.5,28.74,
20.07.23 12:04:46,19.8,133.94,147.55,158.46,141.43,141.43,126.52,146.09,89.01,236.41,226.83,226.83,240.42,233.43,,27,969,36.5,28.72,
20.07.23 12:05:01,20.05,133.94,146.38,157.27,139.98,141.14,126.81,135.08,87.94,237.08,227.49,226.83,240.42,234.09,,27,969,36.5,28.72,
20.07.23 12:05:16,20.3,133.36,145.8,156.38,140.56,142.01,127.66,132.22,87.13,237.08,227.49,225.85,240.42,234.09,,27,969,36.5,28.72,
20.07.23 12:05:31,20.55,131.36,145.21,154.6,138.83,141.14,123.13,129.93,86.06,236.41,227.16,226.5,239.41,233.76,,27,969,36.5,28.72,
20.07.23 12:05:46,20.8,133.65,144.92,157.86,138.83,141.14,113.32,128.23,85.53,237.41,226.5,227.49,239.75,234.09,,27,969,36.5,28.71,
20.07.23 12:06:01,21.05,131.65,146.96,158.46,137.96,139.7,111.93,125.11,84.73,236.41,226.5,226.83,239.41,233.43,,27,969,36.5,28.71,
20.07.23 12:06:16,21.3,133.94,144.05,155.49,137.39,139.41,108.89,126.24,83.13,236.41,226.83,226.18,239.75,233.43,,27,969,36.5,28.71,
20.07.23 12:06:31,21.55,129.93,142.01,152.54,136.52,138.25,107.78,124.26,83.13,236.41,227.16,226.83,239.41,233.09,,27,969,36.5,28.71,
20.07.23 12:06:46,21.8,129.93,141.43,148.43,135.08,137.1,107.51,125.67,82.07,236.08,226.83,225.52,239.75,233.43,,27,969,36.5,28.69,
20.07.23 12:07:01,22.05,127.94,140.85,142.01,135.66,136.52,106.4,121.72,81.01,235.75,226.5,225.85,239.75,234.09,,27,969,36.5,28.69,
20.07.23 12:07:16,22.3,126.24,138.25,137.39,134.22,135.37,106.13,122.28,82.33,235.42,225.85,225.85,239.75,233.43,,27,969,36.5,28.69,
20.07.23 12:07:31,22.55,127.94,137.1,133.65,134.8,133.94,103.93,125.96,77.83,235.75,225.52,224.87,239.08,232.76,,27,969,36.5,28.69,
20.07.23 12:07:46,22.8,125.39,137.39,133.08,135.95,134.51,101.74,124.54,75.72,236.41,225.52,225.52,240.42,233.09,,27,969,36.5,28.69,
20.07.23 12:08:01,23.05,127.37,137.67,131.08,135.95,133.94,100.1,119.75,72.05,236.08,226.83,225.52,239.41,232.43,,27,969,36.5,28.68,
20.07.23 12:08:16,23.3,124.54,135.95,129.08,136.52,133.08,100.37,117.51,70.74,235.42,226.18,226.18,239.75,233.43,,27,969,36.5,28.68,
20.07.23 12:08:31,23.55,125.67,135.95,127.66,130.79,132.22,99.56,114.44,68.4,236.08,225.85,225.19,239.41,232.1,,27,969,36.5,28.66,
20.07.23 12:08:46,23.8,123.41,133.94,127.66,127.09,131.65,98.47,110.82,66.32,235.42,225.52,225.52,239.08,233.09,,27,969,36.5,28.68,
20.07.23 12:09:01,24.05,123.97,133.65,127.37,126.81,132.22,97.65,108.61,65.54,235.42,225.19,225.85,239.75,232.76,,27,969,36.5,28.68,
20.07.23 12:09:16,24.3,121.44,132.5,123.69,125.39,130.5,96.29,107.51,63.47,236.08,225.52,225.52,239.41,233.09,,27,969,36.5,28.66,
20.07.23 12:09:31,24.55,122.56,132.79,120.59,124.54,130.22,94.67,105.85,61.92,235.75,225.19,224.54,239.75,232.43,,27,969,36.5,28.66,
20.07.23 12:09:46,24.8,122,130.79,119.47,123.69,128.8,94.4,108.61,60.89,235.42,225.52,225.19,239.08,232.76,,27,969,36.5,28.65,
20.07.23 12:10:01,25.05,121.44,131.08,118.07,123.41,127.37,92.24,97.65,59.09,235.08,225.19,224.54,238.75,232.76,,27,969,36.5,28.66,
20.07.23 12:10:16,25.3,119.75,129.08,116.95,122.28,127.94,91.16,96.84,57.3,235.42,224.87,224.87,239.75,233.09,,27,969,36.5,28.65,
20.07.23 12:10:31,25.55,118.63,127.94,115.83,121.72,126.52,89.28,103.66,56.28,235.08,224.87,224.21,238.75,232.1,,27,969,36.5,28.65,
20.07.23 12:10:46,25.8,117.51,127.37,118.07,121.44,125.11,89.01,94.67,56.53,235.08,225.19,224.54,239.41,232.43,,27,969,36.5,28.65,
20.07.23 12:11:01,26.05,118.07,126.81,111.1,119.19,123.41,86.33,94.13,60.38,235.42,224.87,224.21,239.41,231.77,,27,969,36.5,28.65,
20.07.23 12:11:16,26.3,117.51,125.96,108.89,118.91,123.69,86.6,92.24,59.09,235.08,224.87,224.54,239.75,232.43,,27,969,36.5,28.64,
20.07.23 12:11:31,26.55,118.63,124.26,108.89,117.23,123.69,83.66,91.7,58.58,234.42,224.87,223.89,239.08,231.77,,27,969,36.5,28.65,
20.07.23 12:11:46,26.8,117.23,123.41,105.3,116.11,119.47,82.6,90.35,57.81,235.08,224.21,224.21,238.41,231.77,,27,969,36.5,28.64,
20.07.23 12:12:01,27.05,116.11,125.67,104.75,115.83,119.75,82.33,88.74,56.53,235.42,224.21,223.89,238.75,232.43,,27,969,36.5,28.64,
20.07.23 12:12:16,27.3,118.91,121.15,108.89,114.44,119.47,79.95,87.67,55,235.42,223.89,224.21,239.08,231.77,,27,969,36.5,28.65,
20.07.23 12:12:31,27.55,114.71,121.44,102.01,114.16,116.67,79.15,87.13,55,235.42,224.21,224.54,238.75,231.77,,27,969,36.5,28.65,
20.07.23 12:12:46,27.8,111.38,120.87,100.92,113.6,116.95,75.99,84.73,54.75,234.75,224.21,224.21,239.41,231.77,,27,969,36.5,28.64,
20.07.23 12:13:01,28.05,115.27,119.19,98.74,113.04,115.83,74.67,85,53.98,235.75,224.54,223.89,239.41,231.44,,27,969,36.5,28.64,
20.07.23 12:13:16,28.3,114.16,116.11,97.38,111.93,115.55,74.15,83.66,52.45,235.08,223.23,223.23,238.75,231.44,,27,969,36.5,28.64,
20.07.23 12:13:31,28.55,111.93,116.11,96.56,112.21,115.83,74.67,83.13,51.19,235.42,223.89,223.56,239.41,231.77,,27,969,36.5,28.64,
20.07.23 12:13:46,28.8,110.55,114.99,95.48,111.1,114.71,74.15,82.33,50.17,234.42,223.56,222.91,238.75,231.77,,27,969,36.5,28.61,
20.07.23 12:14:01,29.05,109.16,114.99,94.67,110.55,113.88,75.2,81.54,50.42,235.08,224.21,224.21,238.41,232.1,,27,969,36.5,28.63,
20.07.23 12:14:16,29.3,108.61,114.99,94.4,109.72,112.77,74.94,81.01,49.67,234.09,222.91,222.58,239.41,230.78,,27,969,36.5,28.63,
20.07.23 12:14:31,29.55,105.3,113.6,93.05,110.82,112.49,75.2,78.62,47.9,234.42,223.23,222.58,239.08,231.11,,27,969,36.5,28.63,
20.07.23 12:14:46,29.8,104.2,113.32,92.24,110.55,112.21,74.67,78.36,45.63,234.75,222.91,222.25,238.08,230.45,,27,969,36.5,28.61,
20.07.23 12:15:01,30.05,104.2,113.6,91.97,107.51,114.44,75.46,76.78,45.38,234.75,223.89,223.23,238.41,231.44,,27,969,36.5,28.63,
20.07.23 12:15:16,30.3,106.4,114.99,90.89,106.68,112.77,75.2,75.99,45.88,234.75,223.23,224.21,238.41,231.77,,27,969,36.5,28.63,
20.07.23 12:15:31,30.55,104.2,112.77,90.35,106.13,111.38,74.67,74.94,45.63,235.08,223.23,222.91,238.08,231.11,,27,969,36.5,28.61,
20.07.23 12:15:46,30.8,101.74,114.44,89.01,105.58,111.65,74.41,75.2,44.87,234.75,222.58,221.6,238.08,230.45,,27,969,36.5,28.61,
20.07.23 12:16:01,31.05,100.65,113.32,88.47,104.48,109.99,73.89,73.89,45.13,234.42,222.58,223.23,238.75,231.11,,27,969,36.5,28.63,
20.07.23 12:16:16,31.3,104.2,112.49,87.4,103.93,106.4,74.41,73.1,45.13,234.75,223.23,222.91,238.08,231.11,,27,969,36.5,28.61,
20.07.23 12:16:31,31.55,100.37,111.1,87.13,103.11,106.13,72.84,72.57,44.87,234.75,222.91,222.91,239.41,231.11,,27,969,36.5,28.61,
20.07.23 12:16:46,31.8,102.29,112.49,86.33,103.66,105.03,73.1,71.27,45.13,234.75,222.25,223.23,239.08,231.77,,27,969,36.5,28.61,
20.07.23 12:17:01,32.05,99.56,108.61,85.26,103.38,103.66,73.1,69.96,44.87,234.42,223.23,222.25,238.08,231.11,,27,969,36.5,28.61,
20.07.23 12:17:16,32.3,100.92,107.51,84.73,101.74,104.2,71.79,68.92,44.87,233.43,222.58,222.25,238.41,230.78,,27,969,36.5,28.61,
20.07.23 12:17:31,32.55,100.92,108.89,83.66,101.19,103.66,71.53,69.18,47.64,234.09,221.93,221.93,237.41,230.45,,27,969,36.5,28.61,
20.07.23 12:17:46,32.8,96.02,104.75,82.6,100.37,102.56,72.31,65.28,47.14,233.76,221.93,222.58,238.08,230.45,,27,969,36.5,28.61,
20.07.23 12:18:01,33.05,96.29,102.56,81.8,98.74,101.74,71.27,64.76,45.88,233.76,222.25,221.6,238.41,230.45,,27,969,36.5,28.61,
20.07.23 12:18:16,33.3,96.29,103.66,80.74,99.83,101.19,71.01,63.99,43.87,233.76,221.93,221.93,238.08,229.79,,27,969,36.5,28.61,
20.07.23 12:18:31,33.55,93.59,103.11,79.68,97.11,100.65,70.74,64.25,44.12,234.09,221.93,222.58,238.75,230.45,,27,969,36.5,28.61,
20.07.23 12:18:46,33.8,95.48,100.37,79.15,96.29,100.92,70.22,64.25,44.12,233.43,221.93,221.6,238.08,230.12,,27,969,36.5,28.61,
20.07.23 12:19:01,34.05,96.02,103.11,78.62,95.21,99.83,69.96,64.25,44.12,233.43,222.25,221.93,238.75,230.12,,27,969,36.5,28.6,
20.07.23 12:19:16,34.3,91.7,99.83,77.57,96.56,101.19,70.48,63.47,44.12,233.76,221.28,222.25,238.08,229.79,,27,969,36.5,28.6,
20.07.23 12:19:31,34.55,93.32,100.1,77.04,95.21,97.92,69.7,64.51,43.87,234.09,221.93,222.25,238.75,230.12,,27,969,36.5,28.6,
20.07.23 12:19:46,34.8,91.16,95.48,75.99,93.59,97.38,69.7,63.73,43.62,233.43,221.6,221.93,238.41,229.79,,27,969,36.5,28.6,
20.07.23 12:20:01,35.05,91.43,95.21,75.46,92.24,97.11,68.4,63.47,43.87,234.09,222.25,221.93,238.41,230.12,,27,969,36.5,28.6,
20.07.23 12:20:16,35.3,90.35,95.48,74.67,91.97,96.29,68.92,63.73,44.12,233.09,221.93,221.28,238.41,230.12,,27,969,36.5,28.6,
20.07.23 12:20:31,35.55,90.62,96.29,73.62,92.51,96.56,68.14,63.21,43.62,233.76,221.28,220.95,237.74,229.79,,27,969,36.5,28.6,
20.07.23 12:20:46,35.8,88.74,93.32,73.36,91.7,94.67,66.84,62.96,43.87,233.09,221.6,221.6,238.08,229.79,,27,969,36.5,28.6,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
