Measurement Name :,7202023R_run17,,Generated On :,"20/07/2023, 17:24:45",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,
20.07.23 17:02:46,10.78,205.01,202.92,163.12,164.24,247,305.05,132.59,207.71,209.81,,30,969,36.5,31.63,
20.07.23 17:03:01,11.03,208.01,197.59,160.89,163.4,246.68,300.18,128.08,207.71,209.51,,30,969,36.5,31.61,
20.07.23 17:03:16,11.28,204.71,197.29,158.67,163.96,244.45,295.01,124.39,207.41,209.51,,30,969,36.5,31.61,
20.07.23 17:03:31,11.53,204.12,195.52,158.67,165.08,241.6,292.61,122.04,206.21,208.91,,30,969,36.5,31.6,
20.07.23 17:03:46,11.78,201.73,196.41,157,160.61,238.75,289.87,120.73,207.11,208.91,,30,969,36.5,31.58,
20.07.23 17:04:01,12.03,200.25,194.94,155.35,155.07,232.8,289.53,118.91,206.51,208.31,,30,969,36.5,31.57,
20.07.23 17:04:16,12.28,197.59,195.23,155.35,152.87,231.24,292.95,116.57,206.21,208.61,,30,969,36.5,31.54,
20.07.23 17:04:31,12.53,196.11,194.05,153.42,151.49,226.28,290.56,109.87,206.81,207.71,,30,969,36.5,31.54,
20.07.23 17:04:46,12.78,193.76,190.54,152.59,150.12,222.89,291.92,108.84,206.81,207.71,,30,969,36.5,31.54,
20.07.23 17:05:01,13.03,193.76,188.79,151.22,150.12,217.38,286.47,103.74,206.51,208.01,,30,969,36.5,31.53,
20.07.23 17:05:16,13.28,194.35,186.47,150.67,149.3,214.64,283.09,103.24,206.21,207.11,,30,969,36.5,31.51,
20.07.23 17:05:31,13.53,192.29,185.6,149.58,146.3,213.13,266.43,106.29,205.61,207.11,,30,969,36.5,31.5,
20.07.23 17:05:46,13.78,192.29,185.02,148.76,144.13,206.51,264.79,101.21,205.91,207.11,,30,969,36.5,31.47,
20.07.23 17:06:01,14.03,187.63,184.15,148.48,140.89,204.41,263.15,90.44,205.91,206.81,,30,969,36.5,31.46,
20.07.23 17:06:16,14.28,186.47,185.31,146.58,139.81,202.33,261.52,94.67,205.31,207.11,,30,969,36.5,31.44,
20.07.23 17:06:31,14.53,186.18,182.42,146.3,137.93,198.18,258.91,89.94,205.31,206.21,,30,969,36.5,31.43,
20.07.23 17:06:46,14.78,184.44,178.97,146.3,133.65,194.64,259.89,86.97,204.71,206.21,,30,969,36.5,31.41,
20.07.23 17:07:01,15.03,180.69,179.26,145.76,132.05,191.42,251.16,80.83,204.71,205.91,,30,969,36.5,31.39,
20.07.23 17:07:16,15.28,181.55,178.4,143.32,130.46,188.79,248.92,80.83,204.12,205.61,,30,969,36.5,31.36,
20.07.23 17:07:31,15.53,178.4,176.4,143.05,131.52,190.83,247,79.12,204.12,205.31,,30,969,36.5,31.36,
20.07.23 17:07:46,15.78,175.82,175.82,141.43,131.26,177.82,243.81,76.93,203.82,205.61,,30,969,36.5,31.33,
20.07.23 17:08:01,16.03,176.11,173.83,137.66,127.55,174.12,243.18,74.74,204.12,204.71,,30,969,36.5,31.3,
20.07.23 17:08:16,16.28,173.83,172.13,136.32,126.23,172.98,240.33,73.78,203.82,205.31,,30,969,36.5,31.29,
20.07.23 17:08:31,16.53,172.41,170.99,135.79,123.35,173.26,239.38,72.81,203.82,204.71,,30,969,36.5,31.26,
20.07.23 17:08:46,16.78,170.71,168.74,133.65,122.3,165.92,236.87,71.61,202.03,204.12,,30,969,36.5,31.26,
20.07.23 17:09:01,17.03,171.28,167.33,133.65,121.51,163.68,237.5,70.4,202.92,204.12,,30,969,36.5,31.24,
20.07.23 17:09:16,17.28,170.71,166.2,131.26,120.73,157.56,227.51,66.33,202.03,204.12,,30,969,36.5,31.24,
20.07.23 17:09:31,17.53,168.45,166.48,129.67,118.65,155.62,228.13,65.61,203.22,204.41,,30,969,36.5,31.22,
20.07.23 17:09:46,17.78,167.61,163.96,127.82,118.39,150.95,224.12,64.9,202.33,204.12,,30,969,36.5,31.21,
20.07.23 17:10:01,18.03,166.76,163.68,123.87,116.05,152.32,222.27,66.57,202.03,203.52,,30,969,36.5,31.18,
20.07.23 17:10:16,18.28,164.8,166.2,123.87,116.05,145.76,220.43,63.95,202.63,203.52,,30,969,36.5,31.18,
20.07.23 17:10:31,18.53,165.36,161.45,122.04,112.44,144.13,219.52,60.86,202.33,203.52,,30,969,36.5,31.18,
20.07.23 17:10:46,18.78,161.73,160.61,123.61,113.47,141.97,216.77,59.68,201.73,203.22,,30,969,36.5,31.16,
20.07.23 17:11:01,19.03,160.33,160.05,119.17,108.84,139.54,215.25,59.92,201.44,202.92,,30,969,36.5,31.16,
20.07.23 17:11:16,19.28,160.33,159.22,117.87,107.56,136.32,214.95,58.03,201.44,203.22,,30,969,36.5,31.15,
20.07.23 17:11:31,19.53,160.89,158.39,115.53,106.29,134.72,212.52,56.62,200.55,202.33,,30,969,36.5,31.15,
20.07.23 17:11:46,19.78,160.05,159.78,115.53,104.76,133.38,211.32,55.92,201.14,202.63,,30,969,36.5,31.14,
20.07.23 17:12:01,20.03,158.11,160.05,113.98,105.01,129.93,210.11,54.51,201.14,202.33,,30,969,36.5,31.11,
20.07.23 17:12:16,20.28,154.52,157.83,114.24,103.74,130.73,209.21,52.64,200.55,202.33,,30,969,36.5,31.13,
20.07.23 17:12:31,20.53,153.14,156.17,108.59,101.21,127.82,208.01,52.87,200.55,201.73,,30,969,36.5,31.1,
20.07.23 17:12:46,20.78,154.52,153.14,108.33,101.21,128.61,206.51,51.47,201.14,202.03,,30,969,36.5,31.1,
20.07.23 17:13:01,21.03,152.87,151.77,108.33,100.2,131.79,199.95,50.31,200.25,201.73,,30,969,36.5,31.08,
20.07.23 17:13:16,21.28,151.77,151.49,106.29,97.43,129.14,201.14,52.17,200.25,201.73,,30,969,36.5,31.08,
20.07.23 17:13:31,21.53,149.3,149.03,106.8,95.67,126.76,187.63,47.53,200.25,201.44,,30,969,36.5,31.05,
20.07.23 17:13:46,21.78,146.3,147.67,105.27,93.92,118.91,181.84,45.45,199.95,201.44,,30,969,36.5,31.05,
20.07.23 17:14:01,22.03,147.12,145.22,104.51,92.43,114.76,177.54,44.29,199.66,201.44,,30,969,36.5,31.07,
20.07.23 17:14:16,22.28,145.76,143.59,104.51,89.94,113.47,175.82,44.98,199.66,200.55,,30,969,36.5,31.04,
20.07.23 17:14:31,22.53,142.78,141.43,104.51,88.7,111.92,172.98,44.29,199.66,200.25,,30,969,36.5,31.05,
20.07.23 17:14:46,22.78,142.24,139.54,102.48,87.22,108.84,170.15,43.37,199.36,201.44,,30,969,36.5,31.04,
20.07.23 17:15:01,23.03,138.47,138.47,103.74,85.74,106.8,168.74,43.14,199.66,200.55,,30,969,36.5,31.03,
20.07.23 17:15:16,23.28,135.25,137.93,100.71,87.71,106.03,167.61,42.91,199.66,200.55,,30,969,36.5,31.01,
20.07.23 17:15:31,23.53,134.72,137.66,100.2,86.97,105.78,166.76,43.37,199.36,201.14,,30,969,36.5,31.03,
20.07.23 17:15:46,23.78,133.38,136.86,99.44,86.48,105.27,164.8,43.37,199.36,200.55,,30,969,36.5,31.01,
20.07.23 17:16:01,24.03,130.46,135.52,99.7,84.5,104,163.4,43.83,199.06,199.95,,30,969,36.5,31.01,
20.07.23 17:16:16,24.28,129.14,135.25,98.69,84.01,103.24,166.48,43.37,198.77,200.25,,30,969,36.5,31,
20.07.23 17:16:31,24.53,125.97,134.99,98.94,81.56,102.98,161.45,42.45,199.36,199.66,,30,969,36.5,30.99,
20.07.23 17:16:46,24.78,124.66,133.65,95.93,79.36,102.48,155.07,41.54,199.06,199.95,,30,969,36.5,31,
20.07.23 17:17:01,25.03,124.13,133.38,95.42,76.44,102.98,153.97,47.53,198.47,200.84,,30,969,36.5,30.97,
20.07.23 17:17:16,25.28,122.82,133.38,95.17,76.44,102.48,152.59,41.54,198.18,199.36,,30,969,36.5,30.97,
20.07.23 17:17:31,25.53,120.73,133.12,94.17,75.23,102.98,155.07,42.45,198.47,199.66,,30,969,36.5,30.97,
20.07.23 17:17:46,25.78,118.91,131.26,91.68,74.99,102.22,151.49,42,197.88,199.66,,30,969,36.5,30.96,
20.07.23 17:18:01,26.03,118.65,130.2,89.69,74.02,101.97,148.21,41.77,198.18,199.66,,30,969,36.5,30.96,
20.07.23 17:18:16,26.28,117.09,127.29,88.95,72.81,99.7,137.39,38.34,197.59,198.77,,30,969,36.5,30.94,
20.07.23 17:18:31,26.53,117.09,127.02,88.45,72.57,98.69,134.99,38.79,198.18,199.06,,30,969,36.5,30.93,
20.07.23 17:18:46,26.78,114.76,124.39,87.71,73.54,98.19,133.38,38.56,197.88,198.77,,30,969,36.5,30.91,
20.07.23 17:19:01,27.03,111.15,122.04,86.23,70.64,96.43,132.32,38.56,197.88,198.47,,30,969,36.5,30.9,
20.07.23 17:19:16,27.28,112.44,119.69,85,69.92,94.42,131.26,38.56,197.59,197.88,,30,969,36.5,30.9,
20.07.23 17:19:31,27.53,108.84,120.47,84.01,71.36,92.18,129.93,38.34,197.59,197.88,,30,969,36.5,30.88,
20.07.23 17:19:46,27.78,107.56,118.13,82.79,68.24,91.43,133.65,38.11,197,197.59,,30,969,36.5,30.86,
20.07.23 17:20:01,28.03,107.05,117.35,83.28,67.29,90.44,123.87,38.34,197.29,198.18,,30,969,36.5,30.86,
20.07.23 17:20:16,28.28,103.49,115.53,83.28,66.81,89.44,121.77,38.79,197,197.88,,30,969,36.5,30.83,
20.07.23 17:20:31,28.53,103.24,113.98,83.03,65.14,87.71,124.66,39.02,196.41,197.88,,30,969,36.5,30.85,
20.07.23 17:20:46,28.78,100.45,113.98,81.32,66.57,85.98,121.51,38.79,196.11,197.88,,30,969,36.5,30.82,
20.07.23 17:21:01,29.03,101.97,112.44,78.63,64.66,85.74,115.27,37.88,196.11,197.59,,30,969,36.5,30.8,
20.07.23 17:21:16,29.28,99.44,113.47,77.9,64.19,84.75,112.95,37.43,195.82,198.18,,30,969,36.5,30.8,
20.07.23 17:21:31,29.53,98.69,110.89,77.66,62.76,83.77,111.41,37.88,196.7,196.7,,30,969,36.5,30.79,
20.07.23 17:21:46,29.78,96.68,109.61,77.17,61.57,82.29,108.07,36.74,196.11,197,,30,969,36.5,30.78,
20.07.23 17:22:01,30.03,94.92,112.95,76.68,61.57,81.32,106.54,37.2,195.82,196.7,,30,969,36.5,30.79,
20.07.23 17:22:16,30.28,91.93,108.33,77.41,64.42,81.07,103.74,37.43,195.82,196.7,,30,969,36.5,30.76,
20.07.23 17:22:31,30.53,89.69,107.56,75.47,63.95,80.58,102.22,37.2,195.23,197,,30,969,36.5,30.78,
20.07.23 17:22:46,30.78,88.7,106.03,74.02,62.29,80.34,101.72,36.97,195.82,196.7,,30,969,36.5,30.76,
20.07.23 17:23:01,31.03,86.97,104.25,73.05,62.29,79.6,99.7,36.74,195.52,196.41,,30,969,36.5,30.75,
20.07.23 17:23:16,31.28,85.98,104,71.85,57.8,79.85,98.69,36.29,195.23,196.11,,30,969,36.5,30.75,
20.07.23 17:23:31,31.53,86.23,103.49,70.88,57.09,78.39,98.19,36.52,195.23,196.11,,30,969,36.5,30.75,
20.07.23 17:23:46,31.78,81.07,100.96,71.85,56.85,78.39,95.17,36.29,194.94,196.11,,30,969,36.5,30.75,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
