"Plot Title: HOBO15"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058707, SEN S/N: 1058707)","Intensity, Lux (LGR S/N: 1058707, SEN S/N: 1058707)","Started (LGR S/N: 1058707)","Coupler Attached (LGR S/N: 1058707)","Host Connected (LGR S/N: 1058707)","Stopped (LGR S/N: 1058707)","End Of File (LGR S/N: 1058707)"
358,06/27/23 08:45:00 PM,27.468,32.3,,,,,
359,06/27/23 08:50:00 PM,27.370,0.0,,,,,
360,06/27/23 08:55:00 PM,27.370,0.0,,,,,
361,06/27/23 09:00:00 PM,27.272,0.0,,,,,
362,06/27/23 09:05:00 PM,27.272,0.0,,,,,
363,06/27/23 09:10:00 PM,27.173,0.0,,,,,
364,06/27/23 09:15:00 PM,27.173,0.0,,,,,
365,06/27/23 09:20:00 PM,27.173,0.0,,,,,
366,06/27/23 09:25:00 PM,27.173,0.0,,,,,
367,06/27/23 09:30:00 PM,27.173,0.0,,,,,
368,06/27/23 09:35:00 PM,27.173,0.0,,,,,
369,06/27/23 09:40:00 PM,27.075,0.0,,,,,
370,06/27/23 09:45:00 PM,27.075,0.0,,,,,
371,06/27/23 09:50:00 PM,26.977,0.0,,,,,
372,06/27/23 09:55:00 PM,26.977,0.0,,,,,
373,06/27/23 10:00:00 PM,26.879,0.0,,,,,
374,06/27/23 10:05:00 PM,26.879,0.0,,,,,
375,06/27/23 10:10:00 PM,26.879,0.0,,,,,
376,06/27/23 10:15:00 PM,26.879,0.0,,,,,
377,06/27/23 10:20:00 PM,26.781,0.0,,,,,
378,06/27/23 10:25:00 PM,26.683,0.0,,,,,
379,06/27/23 10:30:00 PM,26.683,0.0,,,,,
380,06/27/23 10:35:00 PM,26.585,0.0,,,,,
381,06/27/23 10:40:00 PM,26.585,0.0,,,,,
382,06/27/23 10:45:00 PM,26.585,0.0,,,,,
383,06/27/23 10:50:00 PM,26.488,0.0,,,,,
384,06/27/23 10:55:00 PM,26.488,0.0,,,,,
385,06/27/23 11:00:00 PM,26.488,0.0,,,,,
386,06/27/23 11:05:00 PM,26.488,0.0,,,,,
387,06/27/23 11:10:00 PM,26.488,0.0,,,,,
388,06/27/23 11:15:00 PM,26.488,0.0,,,,,
389,06/27/23 11:20:00 PM,26.488,0.0,,,,,
390,06/27/23 11:25:00 PM,26.488,0.0,,,,,
391,06/27/23 11:30:00 PM,26.488,0.0,,,,,
392,06/27/23 11:35:00 PM,26.390,0.0,,,,,
393,06/27/23 11:40:00 PM,26.390,0.0,,,,,
394,06/27/23 11:45:00 PM,26.390,0.0,,,,,
395,06/27/23 11:50:00 PM,26.488,0.0,,,,,
396,06/27/23 11:55:00 PM,26.390,0.0,,,,,
397,06/28/23 12:00:00 AM,26.390,0.0,,,,,
398,06/28/23 12:05:00 AM,26.390,0.0,,,,,
399,06/28/23 12:10:00 AM,26.390,0.0,,,,,
400,06/28/23 12:15:00 AM,26.390,0.0,,,,,
401,06/28/23 12:20:00 AM,26.292,0.0,,,,,
402,06/28/23 12:25:00 AM,26.292,0.0,,,,,
403,06/28/23 12:30:00 AM,26.195,0.0,,,,,
404,06/28/23 12:35:00 AM,26.292,0.0,,,,,
405,06/28/23 12:40:00 AM,26.195,0.0,,,,,
406,06/28/23 12:45:00 AM,26.195,0.0,,,,,
407,06/28/23 12:50:00 AM,26.097,0.0,,,,,
408,06/28/23 12:55:00 AM,26.097,0.0,,,,,
409,06/28/23 01:00:00 AM,26.097,0.0,,,,,
410,06/28/23 01:05:00 AM,26.097,0.0,,,,,
411,06/28/23 01:10:00 AM,26.097,0.0,,,,,
412,06/28/23 01:15:00 AM,26.097,0.0,,,,,
413,06/28/23 01:20:00 AM,26.000,0.0,,,,,
414,06/28/23 01:25:00 AM,26.000,0.0,,,,,
415,06/28/23 01:30:00 AM,26.000,0.0,,,,,
416,06/28/23 01:35:00 AM,25.902,0.0,,,,,
417,06/28/23 01:40:00 AM,25.902,0.0,,,,,
418,06/28/23 01:45:00 AM,25.902,0.0,,,,,
419,06/28/23 01:50:00 AM,25.902,0.0,,,,,
420,06/28/23 01:55:00 AM,25.902,0.0,,,,,
421,06/28/23 02:00:00 AM,25.805,0.0,,,,,
422,06/28/23 02:05:00 AM,25.805,0.0,,,,,
423,06/28/23 02:10:00 AM,25.805,0.0,,,,,
424,06/28/23 02:15:00 AM,25.708,0.0,,,,,
425,06/28/23 02:20:00 AM,25.708,0.0,,,,,
426,06/28/23 02:25:00 AM,25.610,0.0,,,,,
427,06/28/23 02:30:00 AM,25.708,0.0,,,,,
428,06/28/23 02:35:00 AM,25.708,0.0,,,,,
429,06/28/23 02:40:00 AM,25.708,0.0,,,,,
430,06/28/23 02:45:00 AM,25.708,0.0,,,,,
431,06/28/23 02:50:00 AM,25.708,0.0,,,,,
432,06/28/23 02:55:00 AM,25.708,0.0,,,,,
433,06/28/23 03:00:00 AM,25.708,0.0,,,,,
434,06/28/23 03:05:00 AM,25.708,0.0,,,,,
435,06/28/23 03:10:00 AM,25.708,0.0,,,,,
436,06/28/23 03:15:00 AM,25.805,0.0,,,,,
437,06/28/23 03:20:00 AM,25.708,0.0,,,,,
438,06/28/23 03:25:00 AM,25.708,0.0,,,,,
439,06/28/23 03:30:00 AM,25.708,0.0,,,,,
440,06/28/23 03:35:00 AM,25.708,0.0,,,,,
